input,target
"Qual'è il risultato numerico della seguente espressione? ((-1 + 2 + 9 * 5) - (-2 + -4 + -4 * -7)) =",24
"Qual'è il risultato numerico della seguente espressione? ((-9 * -5 - 6 + -2) - (-8 - -6 * -3 * 1)) =",63
"Qual'è il risultato numerico della seguente espressione? ((3 * -3 * 6 + -5) - (-2 + -7 - 7 - -7)) =",-50
"Qual'è il risultato numerico della seguente espressione? ((6 * -6 * 8 * 1) * (-1 * 7 * -6 + -2)) =",-11520
"Qual'è il risultato numerico della seguente espressione? ((-6 - -4 + 9 + 0) + (1 + -4 - -9 * 6)) =",58
"Qual'è il risultato numerico della seguente espressione? ((-6 - 4 * 2 - 6) + (1 + -2 * 1 * 7)) =",-33
"Qual'è il risultato numerico della seguente espressione? ((1 - 0 + 1 - 4) - (-3 * 1 - -6 * -8)) =",49
"Qual'è il risultato numerico della seguente espressione? ((1 + 7 * -9 + -5) + (3 + -5 * 2 - 6)) =",-80
"Qual'è il risultato numerico della seguente espressione? ((-7 * -9 + 8 * -3) * (5 + -7 - 4 * -5)) =",702
"Qual'è il risultato numerico della seguente espressione? ((-9 - 1 * 5 * -5) - (6 + -3 - -1 * -7)) =",20
"Qual'è il risultato numerico della seguente espressione? ((6 - 0 * 5 + -3) * (6 - -7 + -2 - -7)) =",54
"Qual'è il risultato numerico della seguente espressione? ((2 - -2 + -7 * 8) * (-7 * -8 * 3 - -2)) =",-8840
"Qual'è il risultato numerico della seguente espressione? ((8 - 2 + -2 * 6) * (8 + -6 + -8 + -1)) =",42
"Qual'è il risultato numerico della seguente espressione? ((-6 + -9 - -6 + -4) * (-1 - -6 + -4 - 3)) =",26
"Qual'è il risultato numerico della seguente espressione? ((-5 - 4 * -8 + 8) * (4 + 3 - 9 * 7)) =",-1960
"Qual'è il risultato numerico della seguente espressione? ((-5 * -7 * -6 + 9) * (-2 - 8 + -5 + 7)) =",1608
"Qual'è il risultato numerico della seguente espressione? ((8 + 9 - 4 - -9) + (8 + 7 - 6 * 1)) =",31
"Qual'è il risultato numerico della seguente espressione? ((5 * -1 + -6 * -3) + (-1 + -8 - 5 + 3)) =",2
"Qual'è il risultato numerico della seguente espressione? ((-6 - 6 + 7 - 7) - (5 + 3 - 9 * -8)) =",-92
"Qual'è il risultato numerico della seguente espressione? ((7 - 4 + -3 * 4) - (5 + -8 - 6 + -5)) =",5
"Qual'è il risultato numerico della seguente espressione? ((-6 * -1 - 2 + -2) + (9 - 4 + -1 - 7)) =",-1
